FileName,GroupName,DeploymentDate
DEV_23.2026-CIS (L1) - Win11 Enterprise - Administrative Templates (Computer)_2026-02-22T05_34_23.569Z - Copy.json,JoeLoveless-WIN-DD-Wave1,2026-02-23
DEV_23.2026-CIS (L1) - Win11 Enterprise - Administrative Templates (Computer)_2026-02-22T05_34_23.569Z - Copy.json,JoeLoveless-WIN-DD-Wave2,2026-02-24
DEV_23.2026-CIS (L1) - Win11 Enterprise - Administrative Templates (Computer)_2026-02-22T05_34_23.569Z - Copy.json,JoeLoveless-WIN-DD-Wave2,2026-02-25
DEV_23.2026-CIS (L1) - Win11 Enterprise - Administrative Templates (Computer)_2026-02-22T05_34_23.569Z - Copy.json,All Devices,2026-02-26
